name,number,description,color,region,origin_highway,destination_highway,origin_transit,destination_transit,origin_bike,destination_bike,origin_walk,destination_walk,origin_truck,destination_truck
District 23,23,"Billerica, Burlington",#e41a1c,North,213766,214866,2239,1997,2763,2709,17179,17179,44245,44452
District 34,34,"Haverhill, Methuen, Lawrence",#e41a1c,North,357296,359238,2655,2548,5641,5741,51020,51331,61218,59279
District 35,35,"Chelmsford, Lowell, Dracut, Tyngsborough, Dunstable",#e41a1c,North,411230,410601,1839,1691,6211,6211,58424,58424,66612,65235
District 51,51,New Hampshire,#e41a1c,North,274455,274315,0,0,0,0,0,0,76520,76701
District 4,4,"East Boston, Logan Airport",#377eb8,Northeast,92148,90397,15788,15016,2305,2137,18690,18690,18470,18501
District 5,5,"Winthrop, Chelsea, Revere",#377eb8,Northeast,136422,136917,19181,18245,4788,4579,36650,36653,29372,29630
District 12,12,"Lynn, Saugus, Nahant",#377eb8,Northeast,142701,141686,11565,11398,3375,3297,28258,28258,38371,38802
District 19,19,"Swampscott, Salem, Marblehead, Beverly, Wenham, Hamilton",#377eb8,Northeast,359549,359004,16884,16519,5974,6158,76272,76253,47443,48143
District 20,20,"Lynnfield, Peabody, Danvers, Middleton, Topsfield, Boxford",#377eb8,Northeast,307676,308296,3913,3586,4185,4079,29293,29312,56435,56849
District 32,32,"Rockport, Gloucester, Manchester, Essex, Ipswich, Rowley, Georgetown",#377eb8,Northeast,199260,199735,2937,2874,2255,2255,19235,19235,27155,27376
District 33,33,"Salisbury, Amesbury, Merrimac, Newbury, Newburyport, West Newbury, Groveland",#377eb8,Northeast,182535,181854,686,542,1191,1191,9030,9030,26654,25531
District 1,1,Downtown Boston East of Charles Street,#4daf4a,Boston proper,227594,221020,127186,136141,15673,14022,104738,97074,98515,99727
District 2,2,South Boston Seaport District,#4daf4a,Boston proper,32781,32162,6234,7131,1247,938,6957,6712,13376,13406
District 11,11,"South Boston, Dorchester, Mattapan (part)",#9843a3,Southeast,169056,168475,48574,47209,9079,9443,57055,57977,45399,45497
District 18,18,"Milton, Quincy",#9843a3,Southeast,247181,250148,31702,30396,6755,6325,44789,44658,47707,48115
District 29,29,"Brockton, Whitman",#9843a3,Southeast,237840,236436,3704,3758,3466,3371,32700,32699,37989,38317
District 30,30,"Braintree, Weymouth",#9843a3,Southeast,230038,229733,7643,7422,3612,3763,22469,22469,42712,43089
District 31,31,"Abington, Rockland, Hanover, Norwell, Scituate, Hingham, Cohasset, Hull",#9843a3,Southeast,317454,318894,3883,3607,4147,4147,25770,25770,47325,47816
District 41,41,"Marshfield, Duxbury, Plymouth, Pembroke, Hanson, Halifax, Kingston, Plympton, Carver",#9843a3,Southeast,418210,417763,1810,1406,2694,2694,17588,17588,54387,53886
District 54,54,Southeastern Massachusetts,#9843a3,Southeast,137993,137980,0,0,0,0,0,0,40810,40947
